Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date
20,21,30,3,0,66.66,4,lbw,2,, West Indies,Ahmedabad,5 Dec 2011
23*,15,11,3,0,209.09,6,not out,1,, West Indies,Indore,8 Dec 2011
80,99,85,5,0,94.11,5,caught,1,, West Indies,Chennai,11 Dec 2011
31,30,34,3,0,91.17,3,caught,2,, Australia,Melbourne,5 Feb 2012
77,156,94,8,1,81.91,3,run out,2,, Sri Lanka,W.A.C.A,8 Feb 2012
18,41,28,1,0,64.28,3,caught,2,, Australia,Adelaide,12 Feb 2012
15,32,25,1,0,60.00,3,lbw,2,, Sri Lanka,Adelaide,14 Feb 2012
12,44,25,0,0,48.00,3,caught,2,, Australia,Brisbane,19 Feb 2012
66,116,83,2,0,79.51,4,caught,2,, Sri Lanka,Brisbane,21 Feb 2012
21,36,27,2,0,77.77,4,caught,2,, Australia,Sydney,26 Feb 2012
133*,133,86,16,2,154.65,4,not out,2,, Sri Lanka,Hobart,28 Feb 2012
108,148,120,7,0,90.00,3,caught,1,, Sri Lanka,Mirpur,13 Mar 2012
66,126,82,5,0,80.48,3,bowled,1,, Bangladesh,Mirpur,16 Mar 2012
183,211,148,22,1,123.64,3,caught,2,, Pakistan,Mirpur,18 Mar 2012
106,158,113,9,0,93.80,3,caught,1,, Sri Lanka,Hambantota,21 Jul 2012
1,6,5,0,0,20.00,3,caught,1,, Sri Lanka,Hambantota,24 Jul 2012
38,80,65,2,0,58.46,3,caught,2,, Sri Lanka,Colombo (RPS),28 Jul 2012
128*,187,119,12,1,107.56,3,not out,2,, Sri Lanka,Colombo (RPS),31 Jul 2012
23,42,35,2,0,65.71,3,lbw,1,, Sri Lanka,Pallekele,4 Aug 2012
0,9,5,0,0,0.00,3,bowled,1,, Pakistan,Chennai,30 Dec 2012
6,12,9,1,0,66.66,3,caught,2,, Pakistan,Eden Gardens,3 Jan 2013
7,25,17,1,0,41.17,3,caught,1,, Pakistan,Delhi,6 Jan 2013
15,45,22,1,0,68.18,3,caught,2,, England,Rajkot,11 Jan 2013
37,86,54,1,1,68.51,3,caught,1,, England,Kochi,15 Jan 2013
77*,110,79,9,2,97.46,3,not out,2,, England,Ranchi,19 Jan 2013
26,44,33,3,0,78.78,3,caught,2,, England,Mohali,23 Jan 2013
0,1,1,0,0,0.00,3,caught,1,, England,Dharamsala,27 Jan 2013
31,46,41,2,0,75.60,3,caught,1,, South Africa,Cardiff,6 Jun 2013
22,18,18,4,0,122.22,3,bowled,2,, West Indies,The Oval,11 Jun 2013
22*,36,27,3,0,81.48,3,not out,2,, Pakistan,Birmingham,15 Jun 2013
58*,80,64,4,1,90.62,3,not out,2,, Sri Lanka,Cardiff,20 Jun 2013
43,66,34,4,1,126.47,3,caught,1,, England,Birmingham,23 Jun 2013
11,19,21,0,1,52.38,3,caught,1,, West Indies,Kingston,30 Jun 2013
2,6,5,0,0,40.00,4,caught,2,, Sri Lanka,Kingston,2 Jul 2013
102,120,83,13,2,122.89,3,caught,1,, West Indies,Port of Spain,5 Jul 2013
31,62,52,4,0,59.61,3,lbw,1,, Sri Lanka,Port of Spain,9 Jul 2013
2,8,5,0,0,40.00,3,caught,2,, Sri Lanka,Port of Spain,11 Jul 2013
115,133,108,13,1,106.48,3,caught,2,, Zimbabwe,Harare,24 Jul 2013
14,35,18,2,0,77.77,3,caught,1,, Zimbabwe,Harare,26 Jul 2013
68*,128,88,5,1,77.27,3,not out,2,, Zimbabwe,Harare,28 Jul 2013
DNB,dnb,dnb,dnb,dnb,dnb,dnb,dnb,2,, Zimbabwe,Bulawayo,1 Aug 2013
DNB,dnb,dnb,dnb,dnb,dnb,dnb,dnb,2,, Zimbabwe,Bulawayo,3 Aug 2013
61,121,85,6,0,71.76,3,lbw,2,, Australia,Pune,13 Oct 2013
100*,82,52,8,7,192.30,3,not out,2,, Australia,Jaipur,16 Oct 2013
68,121,73,9,0,93.15,3,caught,1,, Australia,Mohali,19 Oct 2013
DNB,dnb,dnb,dnb,dnb,dnb,dnb,dnb,2,, Australia,Ranchi,23 Oct 2013
115*,104,66,18,1,174.24,3,not out,2,, Australia,Nagpur,30 Oct 2013
0,4,3,0,0,0.00,3,run out,1,, Australia,Bengaluru,2 Nov 2013
86,120,84,9,2,102.38,3,caught,2,, West Indies,Kochi,21 Nov 2013
99,159,100,9,0,99.00,3,caught,1,, West Indies,Visakhapatnam,24 Nov 2013
19,19,18,3,0,105.55,3,caught,2,, West Indies,Kanpur,27 Nov 2013
31,41,35,5,0,88.57,3,caught,2,, South Africa,Johannesburg,5 Dec 2013
0,7,5,0,0,0.00,3,caught,2,, South Africa,Durban,8 Dec 2013
0,dnb,dnb,dnb,dnb,dnb,dnb,dnb,dnb,, South Africa,Centurion,11 Dec 2013
123,179,111,11,2,110.81,3,caught,2,, New Zealand,Napier,19 Jan 2014
78,88,65,7,2,120.00,3,caught,2,, New Zealand,Hamilton,22 Jan 2014
6,27,20,1,0,30.00,3,caught,2,, New Zealand,Auckland,25 Jan 2014
2,14,10,0,0,20.00,2,caught,1,, New Zealand,Hamilton,28 Jan 2014
82,129,78,7,3,105.12,3,caught,2,, New Zealand,Wellington,31 Jan 2014
136,157,122,16,2,111.47,3,bowled,2,, Bangladesh,Fatullah,26 Feb 2014
48,66,51,4,1,94.11,3,bowled,1,, Sri Lanka,Fatullah,28 Feb 2014
5,29,11,0,0,45.45,3,caught,1,, Pakistan,Mirpur,2 Mar 2014
DNB,dnb,dnb,dnb,dnb,dnb,dnb,dnb,2,, Afghanistan,Mirpur,5 Mar 2014
0,1,3,0,0,0.00,3,caught,1,, England,Cardiff,27 Aug 2014
40,67,50,2,1,80.00,3,caught,2,, England,Nottingham,30 Aug 2014
1*,9,3,0,0,33.33,3,not out,2,, England,Birmingham,2 Sep 2014
13,25,21,2,0,61.90,3,caught,2,, England,Leeds,5 Sep 2014
2,7,5,0,0,40.00,3,caught,2,, West Indies,Kochi,8 Oct 2014
62,124,78,5,0,79.48,4,caught,1,, West Indies,Delhi,11 Oct 2014
127,164,114,13,3,111.40,3,run out,1,, West Indies,Dharamsala,17 Oct 2014
22,34,21,2,0,104.76,4,caught,1,, Sri Lanka,Cuttack,2 Nov 2014
49,dnb,44,2,2,111.36,4,caught,2,, Sri Lanka,Ahmedabad,6 Nov 2014
53,dnb,61,4,1,86.88,4,caught,2,, Sri Lanka,Hyderabad,9 Nov 2014
66,109,64,6,0,103.12,4,run out,1,, Sri Lanka,Eden Gardens,13 Nov 2014
139*,192,126,12,3,110.31,4,not out,2,, Sri Lanka,Ranchi,16 Nov 2014
9,24,16,0,0,56.25,4,caught,1,, Australia,Melbourne,18 Jan 2015
4,13,8,0,0,50.00,4,caught,1,, England,Brisbane,20 Jan 2015
3*,8,9,0,0,33.33,4,not out,1,, Australia,Sydney,26 Jan 2015
8,26,19,0,0,42.10,3,caught,1,, England,W.A.C.A,30 Jan 2015
107,168,126,8,0,84.92,3,caught,1,, Pakistan,Adelaide,15 Feb 2015
46,106,60,3,0,76.66,3,caught,1,, South Africa,Melbourne,22 Feb 2015
33*,49,41,5,0,80.48,3,not out,2,, U.A.E.,W.A.C.A,28 Feb 2015
33,51,36,5,0,91.66,3,caught,2,, West Indies,W.A.C.A,6 Mar 2015
44*,64,42,4,1,104.76,3,not out,2,, Ireland,Hamilton,10 Mar 2015
38,71,48,4,0,79.16,3,bowled,2,, Zimbabwe,Auckland,14 Mar 2015
3,6,8,0,0,37.50,3,caught,1,, Bangladesh,Melbourne,19 Mar 2015
1,11,13,0,0,7.69,3,caught,2,, Australia,Sydney,26 Mar 2015
1,9,4,0,0,25.00,3,caught,2,, Bangladesh,Mirpur,18 Jun 2015
23,57,27,3,1,85.18,3,lbw,1,, Bangladesh,Mirpur,21 Jun 2015
25,55,35,1,0,71.42,3,bowled,1,, Bangladesh,Mirpur,24 Jun 2015
11,29,18,0,0,61.11,4,caught,2,, South Africa,Kanpur,11 Oct 2015
12,24,18,0,0,66.66,4,run out,1,, South Africa,Indore,14 Oct 2015
77,155,99,5,0,77.77,3,caught,2,, South Africa,Rajkot,18 Oct 2015
138,202,140,6,5,98.57,3,caught,1,, South Africa,Chennai,22 Oct 2015
7,11,6,0,1,116.66,3,caught,2,, South Africa,Wankhede,25 Oct 2015
91,148,97,9,1,93.81,3,caught,1,, Australia,W.A.C.A,12 Jan 2016
59,84,67,4,0,88.05,3,run out,1,, Australia,Brisbane,15 Jan 2016
117,174,117,7,2,100.00,3,caught,1,, Australia,Melbourne,17 Jan 2016
106,131,92,11,1,115.21,3,caught,2,, Australia,Canberra,20 Jan 2016
8,11,11,1,0,72.72,3,caught,2,, Australia,Sydney,23 Jan 2016
85*,109,81,9,1,104.93,3,not out,2,, New Zealand,Dharamsala,16 Oct 2016
9,18,13,1,0,69.23,3,caught,2,, New Zealand,Delhi,20 Oct 2016
154*,202,134,16,1,114.92,3,not out,2,, New Zealand,Mohali,23 Oct 2016
45,64,51,2,1,88.23,3,caught,2,, New Zealand,Ranchi,26 Oct 2016
65,152,76,2,1,85.52,3,caught,1,, New Zealand,Visakhapatnam,29 Oct 2016
122,147,105,8,5,116.19,3,caught,2,, England,Pune,15 Jan 2017
8,6,5,2,0,160.00,3,caught,1,, England,Cuttack,19 Jan 2017
55,81,63,8,0,87.30,3,caught,2,, England,Eden Gardens,22 Jan 2017
81*,108,68,6,3,119.11,3,not out,1,, Pakistan,Birmingham,4 Jun 2017
0,5,5,0,0,0.00,3,caught,1,, Sri Lanka,The Oval,8 Jun 2017
76*,136,101,7,1,75.24,3,not out,2,, South Africa,The Oval,11 Jun 2017
96*,96,78,13,0,123.07,3,not out,2,, Bangladesh,Birmingham,15 Jun 2017
5,11,9,0,0,55.55,3,caught,2,, Pakistan,The Oval,18 Jun 2017
32*,dnb,47,1,0,68.08,3,not out,1,, West Indies,Port of Spain,23 Jun 2017
87,dnb,66,4,4,131.81,3,caught,1,, West Indies,Port of Spain,25 Jun 2017
